,walkscore,walktype,lat,long,biketype,bikescore,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,greenbelt,nuisance,view,condition,grade,heat_source,sewer_system,sqft_above,sqft_basement,sqft_garage,sqft_patio,yr_built,yr_renovated,lat_1,long_1,street_name,city,state,zip_code,mortgage_rate_3
25,76.0,Very Walkable,47.6775,-122.3865,Biker's Paradise,90.0,July 2021,1175000.0,3,2.0,1860,5100,1.0,NO,NO,YES,NONE,Very Good,7 Average,Oil,PUBLIC,1060,1060,260,0,1951,0,47.678000000000004,-122.387,6717 Jones Avenue Northwest,Seattle,Washington,98117,2.8680000000000003
26,4.0,Car-Dependent,47.4615,-121.7115,Somewhat Bikeable,18.0,June 2022,1076000.0,4,2.5,1510,36224,2.0,NO,NO,YES,NONE,Good,8 Good,Gas,PRIVATE,1510,0,460,640,1991,0,47.461999999999996,-121.711,15223 472nd Place Southeast,North Bend,Washington,98045,5.522
27,61.0,Somewhat Walkable,47.31,-122.211,Somewhat Bikeable,47.0,November 2021,455000.0,5,2.0,1540,10560,1.5,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1400,1160,0,290,1926,0,47.31,-122.211,113 O Street Northeast,Auburn,Washington,98002,3.068
28,83.0,Very Walkable,47.6295,-122.3475,Very Bikeable,70.0,October 2021,950000.0,2,2.5,1210,2400,2.0,NO,NO,NO,GOOD,Average,7 Average,Electricity,PUBLIC,1210,830,0,230,1900,1985,47.629,-122.348,415 Prospect Street,Seattle,Washington,98109,3.068
29,74.0,Very Walkable,47.502,-122.184,Somewhat Bikeable,36.0,December 2021,310000.0,3,2.0,1430,1171,3.0,NO,NO,NO,NONE,Average,7 Average,Electricity/Solar,PUBLIC,1430,0,240,240,2021,0,47.501999999999995,-122.184,2568 Northeast 11th Court,Renton,Washington,98056,3.0980000000000003
30,90.0,Walker's Paradise,47.6805,-122.319,Very Bikeable,89.0,April 2022,1250000.0,3,2.0,2470,4000,1.5,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1480,990,0,240,1915,0,47.68,-122.319,812 Northeast 70th Street,Seattle,Washington,98115,4.982
31,18.0,Car-Dependent,47.3415,-122.2815,Somewhat Bikeable,24.0,January 2022,525000.0,3,2.0,1250,7392,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1250,0,480,0,1964,1996,47.341,-122.281,4211 South 290th Street,Auburn,Washington,98001,3.445
32,23.0,Car-Dependent,47.499,-122.127,Somewhat Bikeable,29.0,May 2022,795000.0,2,1.0,1080,23715,1.0,NO,NO,NO,NONE,Average,6 Low Average,Electricity,PRIVATE,1080,0,0,1060,1965,2003,47.498999999999995,-122.12700000000001,16002 Southeast 116th Street,Renton,Washington,98059,5.23
33,74.0,Very Walkable,47.6475,-122.3985,Bikeable,61.0,April 2022,1451000.0,4,3.0,2740,6000,1.0,NO,NO,YES,NONE,Average,8 Good,Gas,PUBLIC,1670,1580,500,180,1987,0,47.647,-122.399,3007 32nd Avenue West,Seattle,Washington,98199,4.982
34,60.0,Somewhat Walkable,47.571,-122.1645,Somewhat Bikeable,29.0,July 2021,1975000.0,3,3.5,3540,13793,2.0,NO,NO,YES,NONE,Average,11 Excellent,Gas,PUBLIC,2800,740,620,0,2005,0,47.571000000000005,-122.164,13236 Southeast Newport Way,Bellevue,Washington,98006,2.8680000000000003
35,72.0,Very Walkable,47.3835,-122.2005,Somewhat Bikeable,48.0,May 2022,63000.0,4,2.5,2310,9600,2.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,2310,0,610,0,2000,0,47.383,-122.2,24416 105th Avenue Southeast,Kent,Washington,98030,5.23
36,50.0,Car-Dependent,47.7285,-122.2005,Bikeable,61.0,March 2022,1040000.0,3,1.0,1100,7200,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1100,0,530,0,1967,0,47.729,-122.20100000000001,10426 Northeast 142nd Street,Kirkland,Washington,98034,4.172
37,85.0,Very Walkable,47.6925,-122.3745,Very Bikeable,77.0,April 2022,1150000.0,3,2.0,1530,861,4.0,NO,NO,NO,NONE,Average,9 Better,Electricity,PUBLIC,1530,0,0,430,2021,0,47.692,-122.374,8747C 14th Ave NW,Seattle,Washington,98117,4.982
38,15.0,Car-Dependent,47.6325,-122.1075,Bikeable,52.0,January 2022,710000.0,3,2.0,1350,2746,1.0,NO,YES,NO,NONE,Average,8 Good,Electricity,PUBLIC,1350,0,440,0,1976,0,47.633,-122.10700000000001,2527 175th Avenue Northeast,Redmond,Washington,98052,3.445
39,5.0,Car-Dependent,47.7345,-122.0805,Somewhat Bikeable,28.0,November 2021,2250000.0,3,3.0,4540,38622,1.0,NO,NO,YES,NONE,Average,12 Luxury,Gas,PRIVATE,4540,0,1060,180,1994,0,47.735,-122.08,19243 Northeast 149th Street,Woodinville,Washington,98077,3.068
40,5.0,Car-Dependent,47.3805,-122.3205,Somewhat Bikeable,39.0,October 2021,400000.0,2,1.0,1040,6078,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1040,0,380,120,1969,0,47.38,-122.32,24730 11th Avenue South,Des Moines,Washington,98198,3.068
41,7.0,Car-Dependent,47.427,-122.1465,Somewhat Bikeable,17.0,July 2021,632000.0,4,3.0,1830,7768,1.0,NO,NO,NO,NONE,Very Good,7 Average,Electricity,PUBLIC,1080,970,440,100,1983,0,47.427,-122.147,14609 Southeast 195th Place,Renton,Washington,98058,2.8680000000000003
42,41.0,Car-Dependent,47.6685,-122.1555,Very Bikeable,70.0,June 2021,1415000.0,5,3.0,1960,7350,1.5,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1960,0,460,0,1966,0,47.669,-122.155,7114 138th Place Northeast,Redmond,Washington,98052,2.975
43,40.0,Car-Dependent,47.61,-122.1195,Somewhat Bikeable,27.0,May 2022,1650000.0,3,3.0,1790,8250,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1220,1170,600,340,1961,0,47.61,-122.119,115 165th Avenue Northeast,Bellevue,Washington,98008,5.23
44,64.0,Somewhat Walkable,47.5245,-121.8285,Somewhat Bikeable,47.0,November 2021,590000.0,2,2.0,1030,7470,1.0,NO,NO,NO,NONE,Good,6 Low Average,Oil,PRIVATE,1030,0,430,80,1917,0,47.523999999999994,-121.829,38243 Southeast 85th Street,Snoqualmie,Washington,98065,3.068
45,82.0,Very Walkable,47.622,-122.2965,Very Bikeable,80.0,March 2022,620000.0,1,1.0,630,2680,1.0,NO,NO,NO,NONE,Average,5 Fair,Oil,PUBLIC,630,0,0,210,1948,0,47.622,-122.29700000000001,322 27th Avenue East,Seattle,Washington,98112,4.172
46,4.0,Car-Dependent,47.631,-122.016,Somewhat Bikeable,29.0,September 2021,2315990.0,6,5.0,4620,7487,2.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,3430,1190,470,270,2021,0,47.631,-122.016,2457 242nd Pl NE,Sammamish,Washington,98074,2.9
47,22.0,Car-Dependent,47.772,-122.2215,Somewhat Bikeable,36.0,November 2021,1600000.0,5,3.0,3530,5096,2.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,3530,0,530,290,2021,0,47.772,-122.221,19914 89th Drive Northeast,Bothell,Washington,98011,3.068
48,3.0,Car-Dependent,47.7165,-122.0325,Somewhat Bikeable,10.0,October 2021,760000.0,2,2.0,1350,4396,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1350,0,510,40,2004,0,47.717,-122.03200000000001,22918 Northeast 132nd Street,Redmond,Washington,98053,3.068
49,22.0,Car-Dependent,47.742,-122.256,Somewhat Bikeable,28.0,November 2021,1600000.0,3,2.5,2390,12000,1.0,NO,NO,NO,NONE,Very Good,9 Better,Electricity,PUBLIC,2390,0,610,130,1977,0,47.742,-122.256,15700 64th Avenue Northeast,Kenmore,Washington,98028,3.068
50,1.0,Car-Dependent,47.6505,-122.229,Somewhat Bikeable,18.0,April 2022,10750000.0,4,3.5,4530,39470,2.0,YES,NO,NO,GOOD,Good,11 Excellent,Gas,PUBLIC,3190,1340,550,70,1949,0,47.65,-122.229,4308 Hunts Point Road,Hunts Point,Washington,98004,4.982
51,38.0,Car-Dependent,47.556,-122.3985,Somewhat Bikeable,17.0,April 2022,1600000.0,4,1.5,1930,7290,2.0,NO,NO,NO,GOOD,Good,8 Good,Gas,PUBLIC,1930,1040,0,340,1922,0,47.556000000000004,-122.398,5033 51st Avenue Southwest,Seattle,Washington,98136,4.982
52,69.0,Somewhat Walkable,47.6505,-121.9095,Somewhat Bikeable,49.0,December 2021,535000.0,3,2.0,1530,11200,1.5,NO,NO,NO,NONE,Average,6 Low Average,Electricity,PUBLIC,1530,0,0,170,1912,1981,47.65,-121.90899999999999,32240 East Reitze Street,Carnation,Washington,98014,3.0980000000000003
53,0.0,Car-Dependent,47.7135,-121.8975,Somewhat Bikeable,18.0,June 2021,917000.0,3,2.0,1810,190357,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1810,0,520,370,1989,0,47.714,-121.898,13004 328th Avenue Northeast,Duvall,Washington,98019,2.975
54,73.0,Very Walkable,47.5635,-122.313,Very Bikeable,85.0,April 2022,900000.0,4,2.0,1750,6221,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1000,1000,250,0,1948,0,47.563,-122.31299999999999,4526 15th Avenue South,Seattle,Washington,98108,4.982
55,24.0,Car-Dependent,47.7735,-122.2215,Somewhat Bikeable,40.0,October 2021,1799950.0,5,4.5,4170,8177,2.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,4170,0,650,250,2021,0,47.773,-122.22200000000001,8812 Northeast 199th Place,Bothell,Washington,98011,3.068
56,77.0,Very Walkable,47.5665,-122.37,Very Bikeable,80.0,August 2021,769000.0,3,3.0,1700,840,3.0,NO,NO,YES,NONE,Average,9 Better,Electricity,PUBLIC,1410,290,0,290,2021,0,47.566,-122.37,3018B SW Charlestown St,Seattle,Washington,98126,2.842
57,48.0,Car-Dependent,47.3295,-122.3205,Somewhat Bikeable,48.0,February 2022,600000.0,5,2.0,1540,9450,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,940,940,0,320,1971,0,47.33,-122.321,30339 10th Avenue South,Federal Way,Washington,98003,3.762
58,33.0,Car-Dependent,47.703,-122.286,Somewhat Bikeable,42.0,June 2022,1270000.0,5,3.0,2570,7800,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,2050,1110,590,120,1975,0,47.703,-122.286,3903 Northeast 103rd Street,Seattle,Washington,98125,5.522
59,18.0,Car-Dependent,47.574,-122.0415,Somewhat Bikeable,40.0,November 2021,2700000.0,5,5.0,4920,6917,2.0,NO,NO,NO,NONE,Average,10 Very Good,Gas,PUBLIC,4920,0,490,300,2019,0,47.574,-122.042,22288 SE 39th Pl,Sammamish,Washington,98075,3.068
60,77.0,Very Walkable,47.2005,-121.9995,Bikeable,55.0,October 2021,500000.0,3,1.0,1370,8410,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1370,0,0,320,1958,0,47.2,-122.0,1037 Garfield Street,Enumclaw,Washington,98022,3.068
61,20.0,Car-Dependent,47.412,-122.2095,Somewhat Bikeable,25.0,March 2022,661000.0,3,2.5,1140,9602,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1140,1140,0,400,1962,0,47.412,-122.21,9726 South 212th Street,Kent,Washington,98031,4.172
62,3.0,Car-Dependent,47.3385,-122.3325,Somewhat Bikeable,15.0,November 2021,765000.0,3,2.5,2260,12127,1.0,NO,NO,NO,FAIR,Good,8 Good,Gas,PUBLIC,1530,730,730,300,1985,0,47.338,-122.33200000000001,150 South 294th Place,Federal Way,Washington,98003,3.068
63,37.0,Car-Dependent,47.529,-122.3475,Bikeable,56.0,June 2021,858000.0,5,3.0,2740,4620,1.5,NO,NO,YES,NONE,Good,6 Low Average,Electricity,PUBLIC,1610,1130,0,120,1922,0,47.528999999999996,-122.34700000000001,8129 9th Avenue Southwest,Seattle,Washington,98106,2.975
64,67.0,Somewhat Walkable,47.5515,-122.3775,Bikeable,64.0,August 2021,565000.0,2,1.0,710,4720,1.0,NO,NO,YES,NONE,Good,6 Low Average,Electricity,PUBLIC,710,0,0,0,1923,0,47.551,-122.37700000000001,5627 35th Avenue Southwest,Seattle,Washington,98126,2.842
65,17.0,Car-Dependent,47.7555,-122.1375,Somewhat Bikeable,16.0,March 2022,2250000.0,4,2.5,3250,45745,2.0,NO,NO,NO,NONE,Average,10 Very Good,Gas,PRIVATE,2760,740,660,280,1983,0,47.756,-122.13799999999999,15021 Northeast 177th Drive,Woodinville,Washington,98072,4.172
66,0.0,Car-Dependent,47.514,-122.1165,Somewhat Bikeable,2.0,June 2021,1800000.0,4,3.5,3740,25982,2.0,NO,YES,NO,GOOD,Good,9 Better,Gas,PRIVATE,3090,1670,1090,1140,1999,0,47.513999999999996,-122.117,17124 Southeast 100th Street,Renton,Washington,98059,2.975
67,52.0,Somewhat Walkable,47.4705,-122.2935,Somewhat Bikeable,49.0,March 2022,820000.0,3,1.5,1580,29471,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1080,1080,0,130,1943,0,47.471000000000004,-122.294,3006 South 148th Street,SeaTac,Washington,98168,4.172
68,22.0,Car-Dependent,47.7675,-122.163,Bikeable,52.0,April 2022,1105000.0,3,1.5,1290,9692,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PRIVATE,1290,0,420,390,1968,0,47.768,-122.163,13214 Northeast 193rd Place,Woodinville,Washington,98072,4.982
69,11.0,Car-Dependent,47.73,-122.0925,Somewhat Bikeable,29.0,May 2022,2025000.0,4,3.5,4500,43560,2.0,NO,NO,NO,NONE,Good,9 Better,Gas,PRIVATE,3610,1420,580,870,1998,0,47.73,-122.09299999999999,18356 Northeast 143rd Place,Woodinville,Washington,98072,5.23
70,45.0,Car-Dependent,47.7615,-122.3205,Bikeable,60.0,March 2022,700000.0,2,1.0,770,9370,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,770,0,260,0,1947,0,47.762,-122.321,18306 8th Avenue Northeast,Shoreline,Washington,98155,4.172
71,7.0,Car-Dependent,47.4045,-122.0175,Somewhat Bikeable,4.0,December 2021,950000.0,3,2.5,3030,51836,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PRIVATE,1780,1770,520,0,1997,0,47.403999999999996,-122.01700000000001,22025 244th Avenue Southeast,Maple Valley,Washington,98038,3.0980000000000003
72,7.0,Car-Dependent,47.376,-122.1555,Somewhat Bikeable,30.0,November 2021,825000.0,3,2.5,3180,15850,1.5,NO,NO,NO,NONE,Good,10 Very Good,Gas,PUBLIC,3180,560,750,50,1986,0,47.376000000000005,-122.155,25109 142nd Avenue Southeast,Kent,Washington,98042,3.068
73,47.0,Car-Dependent,47.5485,-121.9935,Somewhat Bikeable,33.0,May 2022,1410000.0,3,2.5,2200,3420,2.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,2200,0,460,110,2004,0,47.548,-121.994,1875 30th Avenue Northeast,Issaquah,Washington,98029,5.23
74,86.0,Very Walkable,47.5215,-122.358,Very Bikeable,71.0,December 2021,610000.0,2,1.5,1040,882,2.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,900,420,280,380,2020,0,47.522,-122.35799999999999,9030A 18th Ave SW,Seattle,Washington,98106,3.0980000000000003
75,42.0,Car-Dependent,47.4,-122.3145,Somewhat Bikeable,26.0,June 2021,520000.0,5,3.0,2110,8407,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1390,720,420,0,1993,0,47.4,-122.315,22441 15th Avenue South,Des Moines,Washington,98198,2.975
76,55.0,Somewhat Walkable,47.5215,-121.8195,Somewhat Bikeable,45.0,November 2021,780000.0,4,2.5,1560,3901,2.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1560,0,0,450,1948,2008,47.522,-121.82,8734 Falls Avenue Southeast,Snoqualmie,Washington,98065,3.068
77,3.0,Car-Dependent,47.2635,-122.2005,Somewhat Bikeable,2.0,September 2021,229726.0,4,2.5,2970,8025,2.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,2970,750,920,250,2015,0,47.263000000000005,-122.2,5137 Wesley Avenue Southeast,Auburn,Washington,98092,2.9
78,17.0,Car-Dependent,47.5725,-122.106,Somewhat Bikeable,25.0,August 2021,819500.0,4,2.0,2820,12197,1.0,NO,NO,NO,AVERAGE,Average,7 Average,Gas,PUBLIC,1540,1540,260,160,1963,0,47.571999999999996,-122.10600000000001,17447 Southeast 40th Place,Bellevue,Washington,98008,2.842
79,73.0,Very Walkable,47.508,-122.3595,Bikeable,58.0,March 2022,520000.0,3,1.5,1060,8636,1.0,NO,NO,NO,NONE,Average,6 Low Average,Oil,PUBLIC,1060,0,0,70,1949,0,47.508,-122.36,10625 19th Avenue Southwest,Seattle,Washington,98146,4.172
80,45.0,Car-Dependent,47.388,-122.2155,Somewhat Bikeable,37.0,June 2021,605000.0,3,2.5,1620,9615,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1090,1010,540,100,1981,0,47.388000000000005,-122.21600000000001,9222 South 239th Street,Kent,Washington,98031,2.975
81,61.0,Somewhat Walkable,47.5605,-122.3175,Very Bikeable,81.0,July 2021,380000.0,2,1.0,880,5355,1.0,NO,NO,NO,NONE,Very Good,6 Low Average,Electricity,PUBLIC,880,0,0,0,1919,0,47.56,-122.31700000000001,4815 12th Avenue South,Seattle,Washington,98108,2.8680000000000003
82,27.0,Car-Dependent,47.6655,-122.1495,Bikeable,60.0,June 2021,1219000.0,3,2.0,1510,10450,1.0,NO,NO,YES,NONE,Good,8 Good,Gas,PUBLIC,1510,0,480,60,1976,0,47.666000000000004,-122.149,6715 143rd Avenue Northeast,Redmond,Washington,98052,2.975
83,92.0,Walker's Paradise,47.6565,-122.337,Very Bikeable,87.0,August 2021,1260000.0,4,2.5,3260,4560,2.0,NO,NO,YES,NONE,Average,7 Average,Oil,PUBLIC,2870,1060,0,100,1920,0,47.656000000000006,-122.337,4011 Wallingford Avenue North,Seattle,Washington,98103,2.842
84,46.0,Car-Dependent,47.4045,-122.304,Bikeable,56.0,February 2022,470000.0,3,1.0,910,8960,1.0,NO,NO,NO,NONE,Average,6 Low Average,Electricity,PRIVATE,910,0,0,0,1955,0,47.403999999999996,-122.304,22039 24th Avenue South,Des Moines,Washington,98198,3.762
85,91.0,Walker's Paradise,47.6685,-122.3685,Biker's Paradise,93.0,July 2021,950000.0,4,2.0,2120,5000,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,2120,0,0,0,1955,0,47.669,-122.369,909 Northwest 56th Street,Seattle,Washington,98107,2.8680000000000003
86,63.0,Somewhat Walkable,47.5815,-122.403,Bikeable,63.0,July 2021,860000.0,3,2.5,1750,3304,1.0,NO,NO,YES,NONE,Good,6 Low Average,Gas,PUBLIC,1000,1000,0,100,1918,0,47.582,-122.40299999999999,2415 55th Avenue Southwest,Seattle,Washington,98116,2.8680000000000003
87,10.0,Car-Dependent,47.3625,-121.9845,Somewhat Bikeable,3.0,September 2021,699000.0,3,1.0,1070,261360,1.0,NO,NO,NO,NONE,Very Good,5 Fair,Gas,PRIVATE,1070,0,0,0,1918,0,47.361999999999995,-121.984,26712 268th Avenue Southeast,Ravensdale,Washington,98051,2.9
88,28.0,Car-Dependent,47.379,-122.0505,Somewhat Bikeable,39.0,February 2022,800000.0,4,1.5,1970,16991,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PRIVATE,1970,0,480,270,1967,0,47.379,-122.051,21715 Southeast 248th Street,Maple Valley,Washington,98038,3.762
